snow_pct,annual_prcp_mean,annual_prcp_std,annual_tmax_mean,annual_tmax_std,annual_tmin_mean,annual_tmin_std,annual_tavg_mean,annual_tavg_std,Jan_prcp_mean,Feb_prcp_mean,Mar_prcp_mean,Apr_prcp_mean,May_prcp_mean,Jun_prcp_mean,Jul_prcp_mean,Aug_prcp_mean,Sep_prcp_mean,Oct_prcp_mean,Nov_prcp_mean,Dec_prcp_mean,Jan_tavg_mean,Feb_tavg_mean,Mar_tavg_mean,Apr_tavg_mean,May_tavg_mean,Jun_tavg_mean,Jul_tavg_mean,Aug_tavg_mean,Sep_tavg_mean,Oct_tavg_mean,Nov_tavg_mean,Dec_tavg_mean
1.343233,1.017099,0.572289,-1.028418,-1.534968,-1.105966,-0.302955,-0.888299,0.638319,0.704275,0.705573,0.491427,1.054077,0.358618,0.639784,0.362772,0.716053,0.591410,2.386849,1.265490,0.972175,-1.252705,-1.239737,-1.351348,-0.986573,-0.681289,-0.633128,-0.575009,-0.637839,-0.581600,-0.732382,-0.657778,-0.848516
0.712811,0.720731,0.441241,-0.040954,-1.558321,0.006478,-0.531243,-0.011892,-0.815865,0.910777,0.832582,0.937087,1.163550,-0.324740,0.135763,-0.135906,0.214515,0.325248,1.447899,0.989487,0.949150,-0.171002,-0.231599,-0.347016,-0.118077,-0.042207,-0.013620,0.125477,0.106667,0.134762,0.088822,0.212458,0.144263
0.746109,0.559075,0.330896,-0.040954,-1.511733,-0.029820,-0.109305,-0.031765,-0.815865,0.767258,0.717712,0.742111,0.945009,-0.367875,0.072510,-0.135906,0.127290,0.236787,1.380831,0.788758,0.787981,-0.206683,-0.263831,-0.371375,-0.131236,-0.042207,-0.013620,0.125477,0.087075,0.115401,0.068343,0.191233,0.115221
0.599005,0.639903,0.386712,-0.022001,-1.546630,0.269109,-2.724338,0.133182,-0.974208,0.890557,0.832582,1.187771,1.200129,-0.270712,-0.011920,-0.231485,0.083678,0.354764,1.079026,0.889123,0.857054,0.135105,0.001365,-0.195242,-0.084240,-0.079800,-0.032393,0.183851,0.204629,0.289651,0.293610,0.459443,0.429684
0.718387,0.666845,0.494539,-0.078861,-1.296721,-0.014874,-0.277886,-0.033753,-0.871657,0.788050,0.700708,0.714257,1.090524,-0.189450,0.220008,0.030320,0.258127,0.502563,1.380831,0.838940,0.741932,-0.201049,-0.262040,-0.356385,-0.119957,-0.042207,-0.013620,0.086561,0.067483,0.115401,0.068343,0.189303,0.113741
0.896835,0.612960,0.481327,-0.173627,-1.374755,-0.175015,-0.117067,-0.147030,-0.815865,0.767258,0.705573,0.602842,0.945009,-0.189450,0.177898,0.030320,0.279933,0.354764,1.380831,0.713485,0.695884,-0.358798,-0.399921,-0.478179,-0.206431,-0.117393,-0.088712,0.008729,-0.030479,0.018595,-0.054531,0.060022,-0.027767
0.849188,0.586018,0.358968,-0.135720,-1.534968,-0.136581,0.090830,-0.117220,-0.815865,0.767258,0.720135,0.602842,0.908744,-0.270712,0.114685,-0.032014,0.192709,0.325248,1.414365,0.713485,0.741932,-0.317483,-0.362317,-0.450073,-0.189512,-0.098597,-0.069939,0.028187,0.008706,0.037956,-0.013573,0.094754,0.010893
0.784493,0.639903,0.288155,-0.078861,-1.534968,-0.027685,-0.691876,-0.033753,-0.849240,0.829339,0.768333,0.769964,1.090524,-0.243654,0.135763,-0.073571,0.192709,0.354764,1.313763,0.864032,0.787981,-0.189782,-0.253087,-0.363880,-0.136876,-0.061004,-0.032393,0.086561,0.067483,0.115401,0.068343,0.195092,0.126875
0.633619,0.774616,0.622729,-0.040954,-1.285683,0.170889,-0.101569,0.093436,-0.928287,0.849839,0.789852,0.937087,1.236752,-0.080700,0.262093,-0.011236,0.323545,0.621053,1.514967,0.989487,0.811005,-0.009498,-0.101956,-0.230843,-0.048522,-0.004614,0.023926,0.164393,0.165444,0.212206,0.211695,0.345598,0.290951
1.120078,0.909329,0.610220,-0.514785,-0.528063,-0.635793,0.649667,-0.397432,-0.368133,0.808743,0.801762,0.658549,0.836353,0.248167,0.472152,0.362772,0.541605,0.799190,1.850306,0.838940,0.995199,-0.679928,-0.711495,-0.763758,-0.422615,-0.248969,-0.238895,-0.205308,-0.265586,-0.194377,-0.290038,-0.208188,-0.325027
1.065679,0.505190,-0.135431,-0.571645,-1.374755,-0.748105,0.160555,-0.590201,-0.095277,0.478351,0.408674,0.115401,0.335027,0.028496,0.325173,0.258881,0.388963,0.413841,1.380831,0.537846,0.511690,-0.957866,-0.960395,-1.000956,-0.616241,-0.399341,-0.351533,-0.322056,-0.383140,-0.329905,-0.455917,-0.397286,-0.569199
0.650771,0.451305,0.533735,0.053812,-1.070462,0.025695,0.181032,-0.029778,-0.860432,0.542598,0.506578,0.352158,0.620316,-0.162305,0.177898,-0.052793,0.214515,0.472975,1.146094,0.562938,0.488666,-0.246120,-0.296063,-0.362006,-0.087999,0.014182,0.042699,0.125477,0.067483,0.115401,0.068343,0.162289,0.071751
0.789937,1.017099,0.837135,-0.173627,-0.698148,-0.155798,0.125978,-0.049651,-0.916893,0.829339,0.823122,0.797818,1.200129,0.469463,0.514093,0.383551,0.694247,0.977789,1.950908,0.889123,0.880078,-0.257388,-0.310388,-0.371375,-0.108678,-0.023411,0.023926,0.106019,0.047890,0.076678,0.047864,0.142993,0.062724
0.896835,0.801558,0.659859,-0.287346,-0.766171,-0.318074,0.026092,-0.232484,-0.728297,0.700043,0.744300,0.574988,0.836353,0.220617,0.451172,0.238103,0.476187,0.828925,1.682636,0.688393,0.787981,-0.462085,-0.501988,-0.560624,-0.272226,-0.154986,-0.107485,-0.049645,-0.128440,-0.078211,-0.136446,-0.048034,-0.137089
0.817012,0.747673,0.647548,-0.192580,-0.815428,-0.215584,-0.018146,-0.139080,-0.782785,0.672433,0.700708,0.519280,0.836353,0.165595,0.409196,0.196546,0.454381,0.769468,1.649102,0.688393,0.718908,-0.364432,-0.408874,-0.468810,-0.187632,-0.079800,-0.032393,0.028187,-0.030479,0.018595,-0.034052,0.046515,-0.042010
0.679134,0.586018,0.559508,-0.003048,-1.018251,0.012884,0.062294,-0.031765,-0.860432,0.629601,0.597269,0.519280,0.872525,-0.080700,0.304153,0.092655,0.258127,0.532164,1.280229,0.713485,0.580763,-0.234853,-0.287110,-0.358259,-0.095519,-0.004614,0.023926,0.106019,0.067483,0.115401,0.068343,0.166148,0.081370
0.639348,0.882386,0.647548,-0.040954,-1.059970,0.098292,-0.148375,0.033816,-0.939716,0.870245,0.844380,0.881379,1.346879,0.055862,0.472152,0.175768,0.367157,0.710062,1.582035,0.989487,0.834029,-0.101518,-0.177880,-0.281435,-0.074840,-0.023411,0.023926,0.125477,0.106667,0.154123,0.150258,0.268416,0.205491
0.558082,0.639903,0.744268,0.072765,-1.408614,0.358788,-0.831445,0.172928,-1.103406,0.746366,0.765935,0.797818,0.981320,-0.026157,0.177898,-0.094349,0.258127,0.532164,1.313763,0.738576,0.718908,0.337515,0.132799,-0.150272,-0.187632,-0.248969,-0.145031,0.086561,0.185036,0.347734,0.457442,0.642752,0.635010
0.492538,0.720731,0.791165,0.091718,-0.905530,0.192241,-0.549657,0.093436,-1.055922,0.678820,0.683638,0.658549,1.017676,0.248167,0.388199,0.113433,0.258127,0.532164,1.615569,0.738576,0.672860,-0.069592,-0.141530,-0.225222,-0.005286,0.051775,0.099018,0.222767,0.185036,0.212206,0.211695,0.312796,0.248406
0.881033,0.532133,0.507677,-0.401066,-0.835289,-0.461133,-0.302955,-0.399419,-0.358357,0.529389,0.426883,0.190606,0.441630,0.138122,0.304153,0.279659,0.367157,0.650709,1.313763,0.512755,0.488666,-0.683684,-0.706123,-0.754089,-0.416975,-0.248969,-0.220122,-0.185850,-0.265586,-0.194377,-0.296182,-0.231343,-0.345375
0.522523,0.720731,0.622729,0.053812,-1.263687,0.164484,-1.154592,0.093436,-0.882915,0.683073,0.534495,0.658549,0.872525,0.248167,0.262093,0.279659,0.388963,0.680379,1.347297,0.713485,0.718908,-0.097762,-0.145648,-0.213980,0.017273,0.070572,0.117791,0.203309,0.165444,0.212206,0.191216,0.278063,0.209375
0.746109,0.639903,0.533735,-0.211533,-1.028644,-0.224124,-0.432189,-0.196713,-0.653341,0.599357,0.526900,0.380012,0.620316,0.220617,0.325173,0.300438,0.476187,0.680379,1.380831,0.588029,0.603787,-0.432038,-0.466175,-0.521275,-0.234629,-0.136190,-0.088712,-0.030187,-0.089256,-0.039488,-0.095488,-0.017161,-0.107123
0.667822,0.855443,0.732395,-0.097814,-0.885345,-0.059713,-0.180104,-0.061575,-0.974208,0.746366,0.703141,0.686403,1.017676,0.413992,0.388199,0.321216,0.563411,0.769468,1.749704,0.813849,0.787981,-0.238608,-0.296063,-0.371375,-0.133116,-0.061004,-0.013620,0.086561,0.028298,0.076678,0.027385,0.144923,0.079890
0.369160,0.559075,0.546657,0.148578,-1.534968,0.416438,-1.426722,0.232548,-1.103406,0.653212,0.516751,0.742111,1.054077,0.083256,0.135763,-0.011236,0.192709,0.502563,1.079026,0.562938,0.603787,0.123837,0.025950,-0.090312,0.064269,0.089369,0.155337,0.320056,0.302590,0.367095,0.355047,0.469091,0.425985
0.324578,0.586018,0.744268,0.167531,-1.488616,0.444196,-1.341514,0.212675,-1.103406,0.633904,0.514210,0.742111,1.127015,0.138122,0.156834,0.030320,0.170903,0.532164,1.112560,0.562938,0.649836,0.103180,0.013541,-0.092186,0.073669,0.089369,0.174110,0.320056,0.302590,0.347734,0.334568,0.451725,0.405637
0.510568,0.801558,0.684289,0.034859,-1.285683,0.209323,-1.188832,0.073563,-0.962676,0.788050,0.559716,0.825672,1.054077,0.386293,0.304153,0.258881,0.410769,0.769468,1.414365,0.788758,0.811005,-0.099640,-0.154601,-0.230843,-0.014685,0.032979,0.080245,0.183851,0.145852,0.192845,0.170737,0.266486,0.205861
0.259514,0.397420,0.468040,0.186485,-1.593575,0.604337,-1.451464,0.272294,-0.997378,0.725372,0.607228,0.769964,0.872525,-0.216567,0.030309,-0.339532,0.018260,0.089655,0.743686,0.462573,0.764957,0.514828,0.260830,-0.086564,-0.221470,-0.305359,-0.145031,0.164393,0.282998,0.483262,0.621273,0.799047,0.808890
0.833142,0.181879,0.046265,-0.363159,-0.602815,-0.379995,-0.731063,-0.439165,-0.196243,0.241404,0.191775,0.003986,0.197149,-0.162305,0.241054,0.030320,0.192709,0.207330,0.777220,0.194097,0.094952,-0.786972,-0.815352,-0.839438,-0.415095,-0.230173,-0.201349,-0.185850,-0.245994,-0.194377,-0.322804,-0.312385,-0.448963
0.712811,-0.060604,0.273735,-0.097814,-0.364589,-0.113094,-0.048130,-0.115233,-0.528323,0.006412,-0.079074,-0.232771,-0.096992,-0.297741,0.051413,0.009542,-0.047158,-0.115661,0.542483,-0.021687,0.002855,-0.527814,-0.514523,-0.502538,-0.097399,0.089369,0.117791,0.164393,0.106667,0.115401,-0.013573,-0.038386,-0.193693
0.528481,0.424362,1.074849,0.053812,-1.112680,-0.002063,-0.458836,0.033816,-0.518098,0.482815,0.281566,0.268596,0.512954,-0.026157,0.177898,0.196546,0.323545,0.739758,0.911356,0.284425,0.396569,-0.191659,-0.220855,-0.251455,-0.014685,0.051775,0.099018,0.164393,0.106667,0.173484,0.109300,0.175796,0.100793
0.233010,0.532133,0.814264,0.262298,-0.855242,0.486900,-0.353861,0.312041,-0.793779,0.544796,0.411280,0.519280,0.584479,0.110676,0.114685,0.258881,0.345351,0.621053,1.045492,0.537846,0.511690,0.116326,0.057233,0.010871,0.218418,0.277334,0.343066,0.456262,0.400551,0.444539,0.416484,0.478739,0.398238
0.305233,0.559075,0.871025,0.262298,-0.875288,0.252027,0.978823,0.252421,-0.579891,0.586328,0.369379,0.491427,0.692136,0.275742,0.198957,0.362772,0.258127,0.561780,1.011958,0.462573,0.603787,0.050597,-0.007230,-0.060332,0.135704,0.202148,0.305521,0.397888,0.361367,0.386456,0.314089,0.393838,0.333496
0.528481,0.639903,1.233506,-0.003048,-0.935985,-0.044767,0.935309,-0.029778,-0.548862,0.657491,0.486157,0.574988,0.728119,0.165595,0.283126,0.300438,0.410769,0.769468,1.179627,0.487664,0.626811,-0.244242,-0.270994,-0.307667,-0.072961,-0.004614,0.042699,0.125477,0.067483,0.115401,0.047864,0.129487,0.054271
0.456116,0.774616,0.948227,0.053812,-0.987220,0.160213,-0.156267,0.053689,-0.695986,0.704275,0.597269,0.602842,0.800228,0.330968,0.346188,0.383551,0.541605,0.799190,1.347297,0.688393,0.741932,-0.150344,-0.185042,-0.221475,0.009753,0.070572,0.136564,0.222767,0.145852,0.192845,0.150258,0.225965,0.145003
0.381758,0.639903,0.904427,0.148578,-0.997539,0.190106,0.590393,0.153055,-0.621681,0.653212,0.470775,0.547134,0.728119,0.248167,0.262093,0.362772,0.388963,0.680379,1.112560,0.537846,0.649836,-0.050813,-0.097121,-0.142777,0.068029,0.126962,0.211656,0.300598,0.263405,0.289651,0.232174,0.307007,0.239157
0.226340,0.586018,0.915455,0.262298,-0.688518,0.457007,0.111988,0.292167,-0.771823,0.595018,0.452758,0.547134,0.620316,0.275742,0.156834,0.362772,0.388963,0.650709,1.045492,0.537846,0.580763,0.090034,0.029729,-0.015362,0.180821,0.239741,0.324293,0.436804,0.380959,0.425178,0.375526,0.447866,0.370491
0.165476,0.693788,0.959048,0.319157,-0.795658,0.497576,0.267494,0.371660,-0.717495,0.767258,0.493826,0.602842,0.908744,0.386293,0.241054,0.508220,0.388963,0.739758,0.911356,0.588029,0.649836,0.194636,0.109341,0.037103,0.199619,0.258537,0.399385,0.534094,0.498513,0.521984,0.457442,0.528908,0.479629
0.137926,0.666845,0.926431,0.357064,-0.775978,0.529605,0.076609,0.351787,-0.695986,0.725372,0.447596,0.602842,0.800228,0.303343,0.220008,0.487442,0.345351,0.650709,0.877822,0.537846,0.626811,0.192383,0.108446,0.035229,0.180821,0.258537,0.399385,0.514636,0.498513,0.521984,0.436963,0.521189,0.474079
0.388035,0.720731,0.959048,0.205438,-0.518812,0.160213,0.018780,0.192802,-0.487595,0.695807,0.537024,0.491427,0.692136,0.413992,0.346188,0.653668,0.410769,0.918206,0.978424,0.487664,0.649836,-0.000108,-0.044655,-0.086564,0.118785,0.202148,0.267975,0.358972,0.302590,0.347734,0.252653,0.318584,0.266903
0.185933,0.559075,0.622729,0.357064,-0.915658,0.339571,-0.522084,0.272294,-0.804806,0.653212,0.356196,0.491427,0.620316,0.330968,0.198957,0.570555,0.192709,0.561780,0.676619,0.387299,0.603787,0.105058,0.043749,-0.020983,0.143223,0.220944,0.343066,0.456262,0.400551,0.405817,0.314089,0.380331,0.350144
